_id	name	type	category	subcategory	derived_type	guessed_type
68109e5ececd66abf472803c	Machine de traction latérale sélective		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472803d	Banc incliné olympique		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472803e	Banc plat olympique		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472803f	Banc de déclin olympique		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728040	Boucle de prédicateur		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728041	Banc d'épaule olympique		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728042	Banc d'extension de dossier		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728043	Banc multi-réglable		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728044	Banc utilitaire		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728045	Banc latéral		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728046	Banc abdominal réglable		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf4728047	Tour de puissance menton immersion/élévation des jambes		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728048	Support d'haltères		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	
68109e5ececd66abf4728049	Machine a mollet jx fitness		ÉQUIPEMENTS ET ACCESSOIRES SPORTIFS	Matériel de musculation	Accessory	Machine
68109e5ececd66abf472804a	ISO HD – 2.2KG		PROTÉINES	Isolat de Whey	Powder	Powder
68109e5ececd66abf472804b	SUPREME WHEY IHS – 2KG		PROTÉINES	Protéine Whey	Powder	Powder
68109e5ececd66abf472804c	L-CARNITINE 3000 - 500 ML LIQUID		PERTE DE POIDS	L-Carnitine		
68109e5ececd66abf472804d	CREATINE MONOHYDRATE - 300G - OSTROVIT		COMPLÉMENTS ALIMENTAIRES	Créatine	Powder	Powder
68109e5ececd66abf472804e	EAA 400 G - OSTROVIT		COMPLÉMENTS ALIMENTAIRES	EAA	Powder	Powder
68109e5ececd66abf472804f	TRIBULUS TERRESTRIS 90 - 60 CAPS - OSTROVIT		COMPLÉMENTS ALIMENTAIRES	Tribulus	Capsule	Capsule
